[IMPORTANT:flutter/shell/platform/embedder/embedder_surface_metal_impeller.mm(53)] Using the Impeller rendering backend (MetalSDF).
GSPIKE collect+upload: walk 7.0 ms, total 36.5 ms, instances=106852, buffer=6.79 MB, skippedOps=0, textOps=165 patches=87 subBuffer=0.27 MB patchTargets=1.77 MB classify=27.4 ms
GSPIKE run: entities=10000 instances=106852 viewport=1400x900 frames=30 repeats=3
GSPIKE note: arm C (residentGpu) draws strokes, joins, points, circles, arcs, shaded dashes, (since Plan D) fills and (since Plan E) text -- 0 op(s) this walk did not draw. Text is drawn through the compositor: resident labels position from a per-frame uniform, and this corpus has 165 label(s), of which 87 are patches -- a label a later stroke covers, redrawn into its own small offscreen target and composited back after the main pass so the covering geometry still wins. Only present when SPIKE_TEXT=true; at its default the corpus carries no text and both counts are 0. DRAW_TEXT=false is criterion 11's control: it asks the painter to suppress every text op, so a run at DRAW_TEXT=false against the same SPIKE_TEXT=true corpus isolates the cost of drawing text as a difference between the two runs, not a single number read alone. Fills are only in this corpus when SPIKE_FILLS=true; at its default the corpus carries none and skippedOps is 0 on this account regardless. Butt caps only -- Plan B emits no cap geometry. No antialiasing. Dash patterns are evaluated per fragment against the live camera since Plan C, collapse rule included, so nothing about them is baked. Every remaining gap favours arm C on a timing comparison, which is why the picture matters as much as the numbers here.
GSPIKE --- repeat 1 of 3 ---
GSPIKE A painter (untiled) | hold | build  p50=0.04 p95=0.26 max=0.36 mean=0.07 (ms, n=26)
GSPIKE A painter (untiled) | hold | raster p50=4.58 p95=10.41 max=15.94 mean=5.31 (ms, n=26)
GSPIKE A painter (untiled) | pan | build  p50=7.67 p95=14.59 max=26.63 mean=9.01 (ms, n=24)
GSPIKE A painter (untiled) | pan | raster p50=3.57 p95=6.67 max=6.75 mean=3.85 (ms, n=24)
GSPIKE A painter (untiled) | zoom | build  p50=7.57 p95=14.41 max=24.30 mean=8.35 (ms, n=26)
GSPIKE A painter (untiled) | zoom | raster p50=5.47 p95=9.00 max=13.30 mean=5.67 (ms, n=26)
GSPIKE B tiles (blit) | hold | build  p50=0.27 p95=0.34 max=0.35 mean=0.27 (ms, n=26)
GSPIKE B tiles (blit) | hold | raster p50=1.14 p95=1.47 max=1.67 mean=1.19 (ms, n=26)
GSPIKE B tiles (blit) | pan | build  p50=0.47 p95=0.64 max=0.72 mean=0.47 (ms, n=26)
GSPIKE B tiles (blit) | pan | raster p50=1.17 p95=1.27 max=1.32 mean=1.12 (ms, n=26)
GSPIKE B tiles (blit) | zoom | build  p50=0.38 p95=0.48 max=1.00 mean=0.40 (ms, n=26)
GSPIKE B tiles (blit) | zoom | raster p50=0.97 p95=1.21 max=4.11 mean=1.11 (ms, n=26)
GSPIKE C residentGpu (jet_cad_2d_flutter) | hold | build  p50=0.05 p95=0.24 max=0.38 mean=0.07 (ms, n=27)
GSPIKE C residentGpu (jet_cad_2d_flutter) | hold | raster p50=3.38 p95=5.86 max=9.27 mean=3.70 (ms, n=27)
GSPIKE C residentGpu (jet_cad_2d_flutter) | hold | gpu submits=0 of 30 frames
GSPIKE C residentGpu (jet_cad_2d_flutter) | hold | patches rendered=87 clipped=0 offscreen=0
GSPIKE C residentGpu (jet_cad_2d_flutter) | pan | build  p50=2.53 p95=5.83 max=10.13 mean=2.98 (ms, n=26)
GSPIKE C residentGpu (jet_cad_2d_flutter) | pan | raster p50=3.30 p95=6.86 max=7.21 mean=3.43 (ms, n=26)
GSPIKE C residentGpu (jet_cad_2d_flutter) | pan | gpu submits=30 of 30 frames
GSPIKE C residentGpu (jet_cad_2d_flutter) | pan | patches rendered=87 clipped=0 offscreen=0
GSPIKE C residentGpu (jet_cad_2d_flutter) | zoom | build  p50=2.27 p95=5.79 max=8.66 mean=2.51 (ms, n=27)
GSPIKE C residentGpu (jet_cad_2d_flutter) | zoom | raster p50=2.95 p95=7.46 max=8.70 mean=3.31 (ms, n=27)
GSPIKE C residentGpu (jet_cad_2d_flutter) | zoom | gpu submits=30 of 30 frames
